1.000000000000000000e+00,3.971764277386333466e+09,5.000180935747957278e+01,-4.469726208908051390e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.562756723426224664e+06,0.000000000000000000e+00
2.000000000000000000e+00,3.971770178026000023e+09,1.425814019306621674e+02,5.587870088970399607e+00,1.986189878714100798e+00,nan,nan,nan,nan,nan,nan,nan,nan,7.841993089918248838e-01,2.158006910081751162e-01,nan,nan,nan,nan,nan,nan,nan,nan,8.602886288507322315e+05,0.000000000000000000e+00
3.000000000000000000e+00,3.971767402402209282e+09,1.921773518512276837e+02,1.287585456241303916e+01,1.024502455490320685e+01,6.269576635921495722e+00,nan,nan,nan,nan,nan,nan,nan,3.868041814307436876e-01,4.237557994184151244e-01,1.894400191508411879e-01,nan,nan,nan,nan,nan,nan,nan,2.348600144121391932e+05,0.000000000000000000e+00
4.000000000000000000e+00,3.971764425503152370e+09,1.973996098075148495e+02,2.033794536753413240e+01,1.355699589944005190e+01,1.072159300150505068e+01,6.721584392523034523e+00,nan,nan,nan,nan,nan,nan,1.337375812636097949e-01,2.994787576647885974e-01,3.833260549131880524e-01,1.834576061584135553e-01,nan,nan,nan,nan,nan,nan,4.623635675025553792e+04,0.000000000000000000e+00
5.000000000000000000e+00,3.971769395509569645e+09,2.021049499620055485e+02,2.313167106506621806e+01,1.952188149962454844e+01,1.412010293697812280e+01,1.116712891187299661e+01,7.132161586975620082e+00,nan,nan,nan,nan,nan,1.134029664848504870e-01,7.040236213804129672e-02,2.684668829493680464e-01,3.668960362148346865e-01,1.808317522129054833e-01,nan,nan,nan,nan,nan,8.986940727090946893e+03,0.000000000000000000e+00
6.000000000000000000e+00,3.971765441631073475e+09,2.048539297836052810e+02,2.387231102317260678e+01,2.118371172963944815e+01,1.872367041752866612e+01,1.437918752141901990e+01,1.143112178284084379e+01,7.373185534755702264e+00,nan,nan,nan,nan,9.272111733529664335e-02,6.287818755362106771e-02,4.090930648901214273e-02,2.615602451326113909e-01,3.616885240904695875e-01,1.802426193989892234e-01,nan,nan,nan,nan,1.559054500827986431e+03,0.000000000000000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
